"period","entity_type","league_canonical","entity_name","metric","value","short_level","long_level","normalized_index","momentum_percent","trend_per_week","volatility_percent","regime","observations"
2026-05-18,"team","CBLOL","Vivo Keyd Stars","rating_defense_global",104.926979,104.94342,104.308004,100.609173,0.609173,0.29651,1.936725,"hot_accelerating",75
2026-05-18,"team","CBLOL","Vivo Keyd Stars","rating_defense_league",98.879342,100.592471,101.512077,99.094092,-0.905908,-0.215147,2.556262,"cold_deteriorating",75
2026-05-18,"team","CBLOL","Vivo Keyd Stars","snowball_index_league",100.092206,100.810206,101.437114,99.381974,-0.618026,-0.055491,1.183538,"cold_deteriorating",75
2026-05-25,"team","LCK","BNK FEARX","aggression_ahead_league",104.805055,105.632661,106.002672,99.650942,-0.349058,-0.149428,1.161663,"balanced",55
2026-05-25,"team","LCK","BNK FEARX","aggression_behind_league",104.526675,105.200945,104.858235,100.326832,0.326832,0.32584,1.146607,"hot_accelerating",55
2026-05-25,"team","LCK","BNK FEARX","combined_kills_per_minute",1.00178,0.938875,0.956548,98.152397,-1.847603,-1.931534,16.621995,"cold_deteriorating",55
2026-05-25,"team","LCK","BNK FEARX","deaths_per_minute",0.587275,0.520941,0.517497,100.665418,0.665418,-2.50686,23.580433,"hot_cooling",55
2026-05-25,"team","LCK","BNK FEARX","game_length_minutes",35.51,33.290916,31.984106,104.085811,4.085811,1.517681,13.629496,"hot_accelerating",55
2026-05-25,"team","LCK","BNK FEARX","kills_per_minute",0.414505,0.417934,0.439051,95.190369,-4.809631,-1.253413,36.976726,"cold_deteriorating",55
2026-05-25,"team","LCK","BNK FEARX","rating_attack_global",105.364768,105.94214,106.930634,99.075574,-0.924426,-0.360931,1.38894,"cold_deteriorating",55
2026-05-25,"team","LCK","BNK FEARX","rating_attack_league",99.640164,100.627452,102.30772,98.357634,-1.642366,-0.372373,2.094945,"cold_deteriorating",55
2026-05-25,"team","LCK","BNK FEARX","rating_defense_global",85.061173,84.783545,86.402167,98.126643,-1.873357,-0.427215,1.889962,"cold_deteriorating",55
2026-05-25,"team","LCK","BNK FEARX","rating_defense_league",89.161607,88.394195,89.597758,98.656704,-1.343296,-0.499604,1.691191,"cold_deteriorating",55
2026-05-25,"team","LCK","BNK FEARX","snowball_index_league",95.839295,97.510512,98.39617,99.099907,-0.900093,-0.09004,1.685541,"cold_deteriorating",55
2026-05-25,"team","LCK","DN SOOPers","aggression_ahead_league",97.429474,97.042914,96.744035,100.308937,0.308937,0.015983,0.559298,"balanced",90
2026-05-25,"team","LCK","DN SOOPers","aggression_behind_league",98.769381,99.734006,100.064276,99.669942,-0.330058,-0.20403,1.560869,"balanced",90
2026-05-25,"team","LCK","DN SOOPers","combined_kills_per_minute",0.922972,0.881186,0.883473,99.741159,-0.258841,-1.053169,13.361188,"cold_deteriorating",90
2026-05-25,"team","LCK","DN SOOPers","deaths_per_minute",0.563762,0.600935,0.578452,103.886775,3.886775,2.057995,20.92807,"hot_accelerating",90
2026-05-25,"team","LCK","DN SOOPers","game_length_minutes",31.306667,29.789476,30.283325,98.369238,-1.630762,-0.645318,10.169515,"cold_deteriorating",90
2026-05-25,"team","LCK","DN SOOPers","kills_per_minute",0.35921,0.280251,0.305021,91.879265,-8.120735,-6.953292,36.66625,"cold_deteriorating",90
2026-05-25,"team","LCK","DN SOOPers","rating_attack_global",84.590104,87.569759,91.177927,96.042717,-3.957283,-2.06005,1.444512,"cold_deteriorating",90
2026-05-25,"team","LCK","DN SOOPers","rating_attack_league",78.356835,81.442508,85.521917,95.229983,-4.770017,-2.223042,1.396599,"cold_deteriorating",90
2026-05-25,"team","LCK","DN SOOPers","rating_defense_global",81.499134,83.310837,86.761326,96.023009,-3.976991,-1.398953,1.338914,"cold_deteriorating",90
